Channel,Throughput,Latency,Jitter,PDR
1,2197.731546066598,23.17047817047817,12.137639331630423,0.962
1,3818.095739084692,21.647916666666667,11.88306725245586,0.96
1,3876.867264191208,21.346555323590813,12.064066263693555,0.958
1,4800.052137643379,21.31687242798354,12.313230333551788,0.972
1,4367.587034813925,21.59128630705394,11.972867268435406,0.964
1,4720.827943078913,21.2,12.36803676148051,0.96
1,3796.7368421052633,21.20954356846473,12.26892949331775,0.964
1,3814.799331103679,22.024742268041237,12.35670051486183,0.97
1,4894.967777320719,21.130705394190873,12.061285891012723,0.964
1,4757.507307998937,22.19254658385093,12.375850822348442,0.966
1,4640.529663767363,21.56133056133056,12.048277863537505,0.962
1,4729.847782925215,21.67983367983368,12.593491899627194,0.962
1,3977.084025240784,22.666666666666668,12.864086528868741,0.96
1,4065.8468418110674,21.618852459016395,11.897022853702108,0.976
1,5146.324354657688,22.655670103092785,12.10261085466336,0.97
1,4822.25491507289,21.16082474226804,12.464833474483497,0.97
1,5010.529194584986,22.02880658436214,12.508893684475217,0.972
1,4707.642064010451,21.833679833679835,11.848023632893446,0.962
1,4641.802443991854,22.390041493775932,12.197091024455759,0.964
1,4211.984841307437,21.485294117647058,11.909047568513827,0.952
1,4685.805626598465,21.753623188405797,12.12543834211563,0.966
1,3938.496337785437,21.126819126819125,11.835257242598066,0.962
1,4888.799463447351,21.76844262295082,11.746715098586654,0.976
1,5140.196217830228,22.342323651452283,12.059888299812874,0.964
1,4837.640373427141,21.738493723849373,12.20195399979612,0.956
1,4622.868217054263,21.858921161825727,12.861084038817863,0.964
1,4727.426050856253,20.973084886128365,11.566948890374933,0.966
1,3916.469066609183,22.0375,12.095567800507201,0.96
1,4562.483762016108,21.18295218295218,12.135573402372318,0.962
1,5053.133323987102,22.523908523908524,12.111057047622186,0.962
1,4711.28884227088,21.026748971193417,11.862609608124274,0.972
1,3973.8301175426923,21.47599164926931,11.731643939709132,0.958
1,4629.479549195897,20.213250517598343,11.800536465038647,0.966
1,3803.0238044177568,21.71518987341772,11.598827839158107,0.948
1,3905.0496331463096,21.077731092436974,12.526956140506604,0.952
1,4036.7771868281093,22.285416666666666,12.243527024230216,0.96
1,4599.293909973521,22.789256198347108,12.013981535665895,0.968
1,4494.028365264991,21.47530864197531,11.843735968640278,0.972
1,3775.3804461121535,21.446088794926006,12.068941782045998,0.946
1,4176.605504587155,21.476288659793813,12.203005994349056,0.97
1,4760.1959745762715,21.66735966735967,11.765799970839186,0.962
1,4701.300390117035,21.414583333333333,12.452618358925786,0.96
1,4411.916461916461,21.812108559498956,12.104028019686968,0.958
1,3924.125987661002,21.827731092436974,12.55005724564096,0.952
1,4019.1768532017495,21.676348547717843,12.172302957164845,0.964
1,3650.4156830545007,21.90546218487395,11.86166285959892,0.952
1,4557.981072555205,21.947698744769873,12.29175425794452,0.956
1,4606.025342642875,21.98744769874477,11.137024523771169,0.956
1,4508.621759086962,22.30290456431535,12.104813343721075,0.964
1,4653.510485866876,22.724789915966387,11.527000407792256,0.952
0,361.7188266457373,3.2857142857142856,2.099562636671296,0.098
0,2509.345794392523,24.666666666666668,12.957194483717874,0.012
0,2398.1481481481483,29.142857142857142,7.953949089757177,0.014
0,691.1764705882352,34.666666666666664,5.436502143433373,0.006
0,16081.180811808117,3.327272727272727,2.9668136899836464,0.11
0,19134.40860215054,2.5208333333333335,2.5738232208569065,0.096
0,1452.6315789473686,11.0,6.572670690061993,0.01
0,17772.727272727272,3.2452830188679247,2.641509433962264,0.106
0,1169.0821256038648,32.666666666666664,12.827920936595918,0.012
0,15499.999999999998,3.736842105263158,4.6698973120288,0.114
0,16513.761467889908,4.979166666666667,6.875347213454427,0.096
0,18419.811320754718,3.9056603773584904,2.928481807349538,0.106
0,1727.2727272727273,32.166666666666664,8.473815879257447,0.012
0,16291.666666666666,4.086206896551724,5.15378830456086,0.116
0,20186.602870813396,4.392857142857143,2.901222472809469,0.112
