Channel,Throughput,Latency,Jitter,PDR
1,3597.8990370586516,19.531062124248496,11.53163015632538,0.998
1,6290.253539677314,20.02004008016032,11.795162182021794,0.998
1,5772.9121050985295,20.37875751503006,11.671301049827742,0.998
1,6136.467143786597,21.12625250501002,11.740945096878047,0.998
1,5575.268027610516,20.53306613226453,11.375905734498488,0.998
1,5433.990002940312,21.597194388777556,11.319201419970414,0.998
1,6165.79634464752,20.238476953907817,11.735957902990766,0.998
1,5919.303797468354,21.440881763527056,11.315745854008613,0.998
1,6439.2832289492,19.94188376753507,11.387624213547573,0.998
1,5991.222470475583,20.194388777555112,11.332481584139636,0.998
1,4895.5964981053185,20.34669338677355,11.521263955592941,0.998
1,5762.5932835820895,19.549098196392787,11.553443569126335,0.998
1,6016.908212560386,20.935871743486974,11.706493059455736,0.998
1,5771.088115396676,20.338677354709418,11.579451387824653,0.998
1,5687.691365584813,20.08817635270541,11.46958339118281,0.998
1,9014.73074136682,20.586,11.83615663972052,1.0
1,5626.6504780695095,20.448,11.260341735489206,1.0
1,5586.678560808802,21.458917835671343,11.181855096452407,0.998
1,5630.676691729323,20.727454909819638,11.253940202241266,0.998
1,6152.29600264288,20.5811623246493,11.634502531264646,0.998
1,5970.416073406107,20.646,11.847053810969205,1.0
1,5729.57703466178,21.47695390781563,12.020563957468509,0.998
1,5822.560401631629,21.304609218436873,11.809925803855855,0.998
1,5018.105661397109,19.568,11.727803545421448,1.0
1,5473.630086675481,20.366,11.449194032769292,1.0
1,4528.197077647626,20.64457831325301,11.97873704895653,0.996
1,6038.229695431472,20.094188376753507,11.094111271408359,0.998
1,5838.293955200982,19.649298597194388,11.634688929317452,0.998
1,6103.921568627451,20.308617234468937,11.646812541486907,0.998
1,6569.260293091416,20.751503006012022,11.546124836627094,0.998
1,5926.094461007375,20.008016032064127,11.846882844783249,0.998
1,6128.5153695225645,18.725450901803608,11.712263991334021,0.998
1,4708.508014796548,20.33066132264529,11.193546029250292,0.998
1,6432.267884322679,21.212,11.864529320626252,1.0
1,5836.251920122888,20.34869739478958,11.939504044149142,0.998
1,5948.630136986301,21.687374749498996,12.101046714438127,0.998
1,5915.936130244208,20.521042084168336,11.781624313274921,0.998
1,5855.555555555556,20.918,11.453002924997447,1.0
1,6242.072572736188,20.53507014028056,11.238722806695685,0.998
1,4804.2039704165045,21.234939759036145,11.617352348912407,0.996
1,5591.090720734054,20.804,11.005706883249257,1.0
1,4852.835051546392,20.490981963927855,11.460021073439732,0.998
1,5860.1420678768745,20.937875751503007,11.557564747921505,0.998
1,5885.911299169409,19.836,11.58417472243923,1.0
1,6072.727272727273,20.418,11.764492169235355,1.0
1,5857.521434138737,21.6312625250501,11.19513137673261,0.998
1,5878.849460684696,20.498,11.67484458140664,1.0
1,5895.412556755911,20.648,11.416833886853219,1.0
1,6532.337434094903,20.944,11.533987341765206,1.0
1,6556.6086506979145,21.298,11.694836296417325,1.0
0,67.77665048191898,2.8541666666666665,2.3002679493678317,0.096
0,2658.653846153846,17.625,4.998437255783052,0.016
0,1698.4126984126983,14.75,15.122417134836613,0.008
